"product_type","stock_levels","rolling_avg_stock"
"cosmetics",5,"5.000"
"cosmetics",47,"26.000"
"cosmetics",48,"33.333"
"cosmetics",45,"36.250"
"cosmetics",90,"57.500"
"cosmetics",97,"70.000"
"cosmetics",13,"61.250"
"cosmetics",4,"51.000"
"cosmetics",69,"45.750"
"cosmetics",42,"32.000"
"cosmetics",60,"43.750"
"cosmetics",15,"46.500"
"cosmetics",77,"48.500"
"cosmetics",17,"42.250"
"cosmetics",57,"41.500"
"cosmetics",76,"56.750"
"cosmetics",86,"59.000"
"cosmetics",45,"66.000"
"cosmetics",90,"74.250"
"cosmetics",100,"80.250"
"cosmetics",31,"66.500"
"cosmetics",69,"72.500"
"cosmetics",67,"66.750"
"cosmetics",84,"62.750"
"cosmetics",98,"79.500"
"cosmetics",93,"85.500"
"haircare",55,"55.000"
"haircare",1,"28.000"
"haircare",90,"48.667"
"haircare",100,"61.500"
"haircare",10,"50.250"
"haircare",71,"67.750"
"haircare",4,"46.250"
"haircare",82,"41.750"
"haircare",59,"54.000"
"haircare",60,"51.250"
"haircare",36,"59.250"
"haircare",93,"62.000"
"haircare",92,"70.250"
"haircare",30,"62.750"
"haircare",100,"78.750"
"haircare",33,"63.750"
"haircare",97,"65.000"
"haircare",5,"58.750"
"haircare",32,"41.750"
"haircare",0,"33.500"
"haircare",10,"11.750"
"haircare",41,"20.750"
"haircare",38,"22.250"
"haircare",96,"46.250"
"haircare",5,"45.000"
"haircare",31,"42.500"
"haircare",48,"45.000"
"haircare",65,"37.250"
"haircare",73,"54.250"
"haircare",5,"47.750"
"haircare",63,"51.500"
"haircare",15,"39.000"
"haircare",46,"32.250"
"haircare",58,"45.500"
"skincare",41,"41.000"
"skincare",23,"32.000"
"skincare",2,"22.000"
"skincare",54,"30.000"
"skincare",73,"38.000"
"skincare",57,"46.500"
"skincare",13,"49.250"
"skincare",12,"38.750"
"skincare",46,"32.000"
"skincare",95,"41.500"
"skincare",32,"46.250"
"skincare",9,"45.500"
"skincare",54,"47.500"
"skincare",80,"43.750"
"skincare",53,"49.000"
"skincare",16,"50.750"
"skincare",18,"41.750"
"skincare",25,"28.000"
"skincare",1,"15.000"
"skincare",78,"30.500"
"skincare",90,"48.500"
"skincare",64,"58.250"
"skincare",22,"63.500"
"skincare",51,"56.750"
"skincare",89,"56.500"
"skincare",14,"44.000"
"skincare",66,"55.000"
"skincare",4,"43.250"
"skincare",11,"23.750"
"skincare",6,"21.750"
"skincare",27,"12.000"
"skincare",39,"20.750"
"skincare",64,"34.000"
"skincare",96,"56.500"
"skincare",5,"51.000"
"skincare",42,"51.750"
"skincare",25,"42.000"
"skincare",53,"31.250"
"skincare",10,"32.500"
"skincare",48,"34.000"
