"product_id","product_type","total_units_sold","sales_percentile"
1,"haircare","13611","0.5"
3,"cosmetics","11757","1"
5,"haircare","13611","0.5"
8,"cosmetics","11757","1"
9,"haircare","13611","0.5"
10,"cosmetics","11757","1"
11,"cosmetics","11757","1"
12,"cosmetics","11757","1"
14,"haircare","13611","0.5"
15,"cosmetics","11757","1"
16,"haircare","13611","0.5"
17,"cosmetics","11757","1"
18,"cosmetics","11757","1"
19,"haircare","13611","0.5"
20,"haircare","13611","0.5"
21,"cosmetics","11757","1"
22,"cosmetics","11757","1"
27,"haircare","13611","0.5"
30,"haircare","13611","0.5"
34,"haircare","13611","0.5"
35,"haircare","13611","0.5"
37,"haircare","13611","0.5"
38,"haircare","13611","0.5"
40,"cosmetics","11757","1"
41,"haircare","13611","0.5"
42,"haircare","13611","0.5"
47,"haircare","13611","0.5"
48,"haircare","13611","0.5"
49,"haircare","13611","0.5"
51,"cosmetics","11757","1"
52,"haircare","13611","0.5"
53,"haircare","13611","0.5"
54,"haircare","13611","0.5"
56,"haircare","13611","0.5"
58,"haircare","13611","0.5"
60,"cosmetics","11757","1"
61,"cosmetics","11757","1"
62,"cosmetics","11757","1"
64,"cosmetics","11757","1"
65,"haircare","13611","0.5"
67,"haircare","13611","0.5"
68,"cosmetics","11757","1"
69,"haircare","13611","0.5"
73,"cosmetics","11757","1"
74,"haircare","13611","0.5"
76,"haircare","13611","0.5"
77,"cosmetics","11757","1"
79,"cosmetics","11757","1"
80,"cosmetics","11757","1"
81,"cosmetics","11757","1"
82,"haircare","13611","0.5"
85,"haircare","13611","0.5"
86,"haircare","13611","0.5"
88,"haircare","13611","0.5"
90,"haircare","13611","0.5"
91,"haircare","13611","0.5"
92,"cosmetics","11757","1"
93,"cosmetics","11757","1"
98,"cosmetics","11757","1"
99,"cosmetics","11757","1"
