"product_type","sku","price","availability","number_of_products_sold","revenue_generated","customer_demographics","stock_levels","order_quantities","shipping_times","shipping_carriers","shipping_costs","supplier_name","location","production_volumes","manufacturing_lead_time","manufacturing_costs","inspection_results","defect_rates","transportation_modes","routes","costs","final_lead_time","profit","shipping_risk_flag","stock_risk_flag"
"skincare","SKU4","4.805496036","26",871,"2686.505152","Non-binary",5,56,8,"Carrier A","3.890547916","Supplier 1","Delhi",414,3,"92.0651606","Fail","3.145579523","Air","Route A","923.4406317","4","1763.06452","High Risk","Low Stock"
"skincare","SKU6","4.078332863","48",65,"7823.47656","Male",11,58,8,"Carrier C","3.880763303","Supplier 3","Kolkata",314,24,"1.08506857","Pending","1.000910619","Sea","Route A","134.3690969","14.5","7689.107463","High Risk","Low Stock"
"cosmetics","SKU8","68.71759675","78",150,"7517.363211","Female",5,15,7,"Carrier C","3.404733857","Supplier 4","Mumbai",769,8,"11.42302714","Pending","2.709862691","Sea","Route B","505.5571342","11.5","7011.806076","High Risk","Low Stock"
"skincare","SKU13","16.16039332","5",249,"4052.738416","Male",80,48,9,"Carrier A","9.537283061","Supplier 5","Bangalore",173,10,"97.82905011","Pending","1.63107423","Road","Route B","547.2410052","15.5","3505.497411","High Risk","Normal"
"skincare","SKU15","36.98924493","94",469,"5442.086785","Non-binary",9,69,7,"Carrier B","2.422039723","Supplier 1","Bangalore",580,7,"97.12128175","Pass","2.264405761","Sea","Route B","127.8618","11","5314.224985","High Risk","Low Stock"
"cosmetics","SKU17","81.46253437","82",126,"2629.396435","Female",45,85,9,"Carrier C","3.585418958","Supplier 1","Chennai",453,16,"47.67968037","Fail","0.102020755","Air","Route C","670.9343908","12","1958.462044","High Risk","Normal"
"haircare","SKU18","36.44362777","23",620,"9364.673505","Unknown",10,46,8,"Carrier C","4.339224714","Supplier 2","Kolkata",374,17,"27.10798085","Pending","2.231939111","Sea","Route A","593.4802587","14","8771.193246","High Risk","Low Stock"
"haircare","SKU22","27.67978089","55",884,"2390.807867","Unknown",71,63,10,"Carrier A","9.567648921","Supplier 4","Kolkata",780,28,"50.12083961","Fail","2.591275473","Rail","Route C","205.5719958","11.5","2185.235871","High Risk","Normal"
"cosmetics","SKU23","4.324341186","30",391,"8858.367571","Unknown",84,29,7,"Carrier A","2.924857601","Supplier 5","Kolkata",568,29,"98.60995724","Pending","1.342291563","Rail","Route A","196.3294461","8","8662.038125","High Risk","Normal"
"haircare","SKU24","4.156308359","32",209,"9049.077861","Male",4,2,8,"Carrier C","9.741291689","Supplier 2","Bangalore",447,3,"40.3823597","Pending","3.691310293","Air","Route A","758.7247726","27","8290.353088","High Risk","Low Stock"
"cosmetics","SKU27","92.55736081","42",352,"2686.457224","Unknown",47,62,8,"Carrier C","7.406750953","Supplier 5","Mumbai",291,4,"10.52824507","Fail","2.864667838","Sea","Route B","762.4591822","17","1923.998041","High Risk","Normal"
"cosmetics","SKU29","63.44755919","3",253,"8318.903195","Female",45,67,7,"Carrier B","8.100973145","Supplier 1","Kolkata",329,7,"39.29287559","Pass","3.878098937","Road","Route B","764.9353759","10.5","7553.967819","High Risk","Normal"
"haircare","SKU30","8.022859211","10",327,"2766.342367","Male",60,35,7,"Carrier B","8.954528315","Supplier 4","Kolkata",806,30,"51.6348934","Pending","0.965394705","Road","Route C","880.0809882","26.5","1886.261379","High Risk","Normal"
"cosmetics","SKU33","64.795435","63",616,"5149.99835","Non-binary",4,95,9,"Carrier C","4.858270503","Supplier 5","Chennai",251,23,"23.85342751","Fail","3.541046012","Sea","Route A","371.2552955","9","4778.743055","High Risk","Low Stock"
"skincare","SKU34","37.46759233","96",602,"9061.710896","Unknown",1,21,7,"Carrier A","1.019487571","Supplier 1","Chennai",452,10,"10.75427282","Pass","0.646604559","Road","Route B","510.3580004","15","8551.352895","High Risk","Low Stock"
"cosmetics","SKU35","84.95778682","11",449,"6541.329345","Female",42,85,8,"Carrier C","5.28818999","Supplier 1","Delhi",367,2,"58.00478704","Pass","0.541154098","Sea","Route C","553.4204712","15","5987.908874","High Risk","Normal"
"skincare","SKU37","23.39984475","5",963,"2438.33993","Female",25,21,9,"Carrier A","1.532655274","Supplier 3","Kolkata",867,15,"34.34327747","Pending","2.610288085","Sea","Route A","183.932968","16","2254.406962","High Risk","Normal"
"skincare","SKU40","80.54142417","97",933,"5724.95935","Female",90,39,8,"Carrier C","7.22959514","Supplier 1","Kolkata",793,1,"88.1794071","Pending","4.213269431","Road","Route A","529.808724","19","5195.150626","High Risk","Normal"
"skincare","SKU41","99.11329162","35",556,"5521.205259","Female",64,38,8,"Carrier B","5.773263744","Supplier 4","Chennai",892,7,"95.33206455","Fail","0.045302262","Sea","Route A","275.5243711","18.5","5245.680888","High Risk","Normal"
"haircare","SKU43","11.74327178","6",598,"5737.425599","Unknown",36,85,9,"Carrier B","3.694021268","Supplier 5","Mumbai",206,23,"26.27736596","Pending","0.372304768","Air","Route A","716.0441198","15","5021.381479","High Risk","Normal"
"haircare","SKU46","27.0822072","75",859,"2556.767361","Non-binary",92,6,8,"Carrier B","4.070955837","Supplier 3","Chennai",870,23,"77.32235321","Pending","3.648610593","Road","Route B","380.4359371","23.5","2176.331424","High Risk","Normal"
"skincare","SKU47","95.71213588","93",910,"7089.47425","Male",4,51,9,"Carrier B","8.978750756","Supplier 1","Kolkata",964,20,"19.71299291","Pending","0.380573587","Rail","Route A","581.6023551","12.5","6507.871895","High Risk","Low Stock"
"cosmetics","SKU50","14.20348426","91",633,"5910.88539","Female",31,82,10,"Carrier A","6.247860915","Supplier 2","Delhi",306,21,"45.17875792","Fail","4.754800805","Rail","Route B","496.2486503","21.5","5414.636739","High Risk","Normal"
"skincare","SKU58","59.84156138","81",896,"2021.14981","Non-binary",10,44,7,"Carrier A","4.938438565","Supplier 3","Delhi",396,7,"65.04741509","Fail","1.73037472","Road","Route B","110.3643352","11.5","1910.785475","High Risk","Low Stock"
"cosmetics","SKU59","63.82839835","30",484,"1061.618523","Non-binary",100,26,7,"Carrier B","7.293722597","Supplier 1","Kolkata",176,4,"1.900762244","Fail","0.447194015","Air","Route A","312.5742736","13.5","749.0442494","High Risk","Normal"
"skincare","SKU60","17.02802792","16",380,"8864.08435","Female",41,72,8,"Carrier C","4.381368158","Supplier 4","Mumbai",929,24,"87.21305782","Fail","2.853090617","Rail","Route A","430.169097","28","8433.915253","High Risk","Normal"
"haircare","SKU61","52.0287499","23",117,"6885.589351","Unknown",32,36,7,"Carrier C","9.030340423","Supplier 4","Kolkata",480,12,"78.70239397","Fail","4.367470538","Air","Route A","164.3665282","18.5","6721.222823","High Risk","Normal"
"cosmetics","SKU62","72.79635396","89",270,"3899.746834","Unknown",86,40,7,"Carrier C","7.291701389","Supplier 2","Mumbai",751,14,"21.04864273","Pass","1.874001404","Sea","Route C","320.8465158","7.5","3578.900318","High Risk","Normal"
"skincare","SKU65","33.69771721","72",457,"8354.579686","Male",57,54,8,"Carrier C","6.580541348","Supplier 5","Kolkata",358,21,"1.597222743","Fail","4.911095955","Rail","Route C","555.8591037","20","7798.720583","High Risk","Normal"
"skincare","SKU66","26.03486977","52",704,"8367.721618","Female",13,19,8,"Carrier A","2.216142729","Supplier 5","Kolkata",867,28,"42.08443674","Fail","3.448063288","Road","Route A","393.8433486","20.5","7973.878269","High Risk","Low Stock"
"skincare","SKU67","87.75543235","16",513,"9473.798033","Unknown",12,71,9,"Carrier C","9.147811545","Supplier 1","Mumbai",198,11,"7.057876147","Pass","0.131955444","Sea","Route C","169.2718014","9.5","9304.526231","High Risk","Low Stock"
"haircare","SKU68","37.93181238","29",163,"3550.218433","Non-binary",0,58,8,"Carrier B","1.194251865","Supplier 2","Bangalore",375,18,"97.11358156","Fail","1.983467872","Rail","Route A","299.7063031","5","3250.51213","High Risk","Low Stock"
"cosmetics","SKU72","90.20442752","88",478,"2633.121981","Non-binary",57,77,9,"Carrier A","6.59961416","Supplier 1","Bangalore",152,11,"55.7604929","Pending","3.213329607","Rail","Route B","677.9445698","25","1955.177411","High Risk","Normal"
"skincare","SKU75","92.99688423","29",106,"1889.07359","Non-binary",16,56,10,"Carrier C","2.473897761","Supplier 1","Chennai",759,11,"48.06478264","Pass","2.030069089","Air","Route C","873.129648","22.5","1015.943942","High Risk","Low Stock"
"haircare","SKU76","69.10879955","23",241,"5328.375984","Male",38,22,10,"Carrier A","7.054538337","Supplier 2","Bangalore",985,24,"64.3235978","Pending","2.180037452","Rail","Route A","997.4134501","13","4330.962534","High Risk","Normal"
"haircare","SKU83","68.91124621","82",663,"2411.754632","Unknown",65,7,8,"Carrier B","4.949839578","Supplier 1","Bangalore",443,5,"97.7305938","Fail","0.773006134","Road","Route A","682.9710182","22","1728.783614","High Risk","Normal"
"haircare","SKU84","89.10436729","99",618,"2048.2901","Unknown",73,80,10,"Carrier A","8.381615625","Supplier 5","Chennai",589,22,"33.80863651","Pass","4.843456577","Air","Route B","465.457006","25","1582.833094","High Risk","Normal"
"haircare","SKU87","80.41403665","24",79,"5133.846701","Male",5,55,10,"Carrier A","6.575803798","Supplier 3","Chennai",523,17,"28.69699682","Fail","3.693737788","Sea","Route B","879.3592177","17","4254.487483","High Risk","Low Stock"
"cosmetics","SKU88","75.27040698","58",737,"9444.742033","Male",60,85,7,"Carrier A","3.801253133","Supplier 2","Mumbai",953,11,"68.18491906","Pending","0.722204402","Sea","Route A","103.916248","19.5","9340.825785","High Risk","Normal"
"cosmetics","SKU89","97.76008558","10",134,"5924.682567","Unknown",90,27,8,"Carrier B","9.929816245","Supplier 1","Kolkata",370,11,"46.60387338","Pending","1.907665734","Rail","Route B","517.4999739","12","5407.182593","High Risk","Normal"
"skincare","SKU90","13.8819135","56",320,"9592.63357","Non-binary",66,96,7,"Carrier B","7.674430708","Supplier 3","Bangalore",585,8,"85.67596334","Pass","1.219382224","Rail","Route B","990.0784725","13","8602.555098","High Risk","Normal"
"cosmetics","SKU91","62.11196546","90",916,"1935.206794","Male",98,85,7,"Carrier B","7.471514084","Supplier 4","Delhi",207,28,"39.7728825","Pending","0.626001858","Rail","Route B","996.778315","13.5","938.4284786","High Risk","Normal"
"cosmetics","SKU92","47.71423308","44",276,"2100.129755","Male",90,10,8,"Carrier B","4.469500026","Supplier 2","Mumbai",671,29,"62.6126904","Pass","0.333431825","Rail","Route B","230.0927825","14.5","1870.036972","High Risk","Normal"
"cosmetics","SKU94","3.037688725","97",987,"7888.356547","Unknown",77,72,9,"Carrier B","6.942945942","Supplier 2","Delhi",908,14,"60.38737861","Pass","1.463607498","Rail","Route B","846.665257","19","7041.69129","High Risk","Normal"
"haircare","SKU95","77.90392722","65",672,"7386.363944","Unknown",15,26,9,"Carrier B","8.63033887","Supplier 4","Mumbai",450,26,"58.89068577","Pending","1.21088213","Air","Route A","778.8642414","16","6607.499703","High Risk","Low Stock"
"haircare","SKU97","3.526111259","56",62,"4370.91658","Male",46,4,9,"Carrier A","7.904845611","Supplier 4","Mumbai",535,13,"65.76515593","Fail","3.376237835","Road","Route A","540.1324229","14.5","3830.784157","High Risk","Normal"
"skincare","SKU98","19.75460487","43",913,"8525.95256","Female",53,27,7,"Carrier B","1.409801095","Supplier 5","Chennai",581,9,"5.604690864","Pending","2.908122169","Rail","Route A","882.1988635","14.5","7643.753696","High Risk","Normal"
