"product_id","product_type","sku","total_units_sold","avg_stock_level","total_profit","product_risk_flag"
55,"skincare","SKU4","20731.000","40.200","219398.844","Low Stock"
27,"haircare","SKU95","13611.000","48.353","157126.528","Normal"
23,"skincare","SKU90","20731.000","40.200","219398.844","Low Stock"
56,"haircare","SKU57","13611.000","48.353","157126.528","Normal"
58,"haircare","SKU99","13611.000","48.353","157126.528","Normal"
91,"haircare","SKU55","13611.000","48.353","157126.528","Normal"
8,"cosmetics","SKU33","11757.000","58.654","148154.869","Low Demand"
87,"skincare","SKU34","20731.000","40.200","219398.844","Low Stock"
74,"haircare","SKU24","13611.000","48.353","157126.528","Normal"
29,"skincare","SKU16","20731.000","40.200","219398.844","Low Stock"
54,"haircare","SKU61","13611.000","48.353","157126.528","Normal"
71,"skincare","SKU42","20731.000","40.200","219398.844","Low Stock"
68,"cosmetics","SKU96","11757.000","58.654","148154.869","Low Demand"
4,"skincare","SKU65","20731.000","40.200","219398.844","Low Stock"
34,"haircare","SKU77","13611.000","48.353","157126.528","Normal"
51,"cosmetics","SKU89","11757.000","58.654","148154.869","Low Demand"
96,"skincare","SKU40","20731.000","40.200","219398.844","Low Stock"
80,"cosmetics","SKU50","11757.000","58.654","148154.869","Low Demand"
70,"skincare","SKU67","20731.000","40.200","219398.844","Low Stock"
52,"haircare","SKU79","13611.000","48.353","157126.528","Normal"
83,"skincare","SKU15","20731.000","40.200","219398.844","Low Stock"
67,"haircare","SKU45","13611.000","48.353","157126.528","Normal"
63,"skincare","SKU82","20731.000","40.200","219398.844","Low Stock"
10,"cosmetics","SKU8","11757.000","58.654","148154.869","Low Demand"
90,"haircare","SKU84","13611.000","48.353","157126.528","Normal"
35,"haircare","SKU51","13611.000","48.353","157126.528","Normal"
45,"skincare","SKU32","20731.000","40.200","219398.844","Low Stock"
6,"skincare","SKU69","20731.000","40.200","219398.844","Low Stock"
84,"skincare","SKU11","20731.000","40.200","219398.844","Low Stock"
86,"haircare","SKU5","13611.000","48.353","157126.528","Normal"
39,"skincare","SKU13","20731.000","40.200","219398.844","Low Stock"
92,"cosmetics","SKU85","11757.000","58.654","148154.869","Low Demand"
93,"cosmetics","SKU23","11757.000","58.654","148154.869","Low Demand"
89,"skincare","SKU98","20731.000","40.200","219398.844","Low Stock"
36,"skincare","SKU36","20731.000","40.200","219398.844","Low Stock"
69,"haircare","SKU18","13611.000","48.353","157126.528","Normal"
31,"skincare","SKU53","20731.000","40.200","219398.844","Low Stock"
50,"skincare","SKU58","20731.000","40.200","219398.844","Low Stock"
60,"cosmetics","SKU71","11757.000","58.654","148154.869","Low Demand"
97,"skincare","SKU52","20731.000","40.200","219398.844","Low Stock"
14,"haircare","SKU0","13611.000","48.353","157126.528","Normal"
66,"skincare","SKU31","20731.000","40.200","219398.844","Low Stock"
22,"cosmetics","SKU72","11757.000","58.654","148154.869","Low Demand"
59,"skincare","SKU64","20731.000","40.200","219398.844","Low Stock"
13,"skincare","SKU56","20731.000","40.200","219398.844","Low Stock"
65,"haircare","SKU54","13611.000","48.353","157126.528","Normal"
2,"skincare","SKU60","20731.000","40.200","219398.844","Low Stock"
16,"haircare","SKU43","13611.000","48.353","157126.528","Normal"
62,"cosmetics","SKU21","11757.000","58.654","148154.869","Low Demand"
75,"skincare","SKU86","20731.000","40.200","219398.844","Low Stock"
98,"cosmetics","SKU7","11757.000","58.654","148154.869","Low Demand"
73,"cosmetics","SKU35","11757.000","58.654","148154.869","Low Demand"
11,"cosmetics","SKU91","11757.000","58.654","148154.869","Low Demand"
44,"skincare","SKU19","20731.000","40.200","219398.844","Low Stock"
99,"cosmetics","SKU59","11757.000","58.654","148154.869","Low Demand"
42,"haircare","SKU68","13611.000","48.353","157126.528","Normal"
88,"haircare","SKU22","13611.000","48.353","157126.528","Normal"
82,"haircare","SKU97","13611.000","48.353","157126.528","Normal"
41,"haircare","SKU26","13611.000","48.353","157126.528","Normal"
40,"cosmetics","SKU73","11757.000","58.654","148154.869","Low Demand"
46,"skincare","SKU6","20731.000","40.200","219398.844","Low Stock"
43,"skincare","SKU9","20731.000","40.200","219398.844","Low Stock"
32,"skincare","SKU1","20731.000","40.200","219398.844","Low Stock"
53,"haircare","SKU76","13611.000","48.353","157126.528","Normal"
7,"skincare","SKU41","20731.000","40.200","219398.844","Low Stock"
9,"haircare","SKU87","13611.000","48.353","157126.528","Normal"
100,"skincare","SKU37","20731.000","40.200","219398.844","Low Stock"
38,"haircare","SKU83","13611.000","48.353","157126.528","Normal"
15,"cosmetics","SKU17","11757.000","58.654","148154.869","Low Demand"
79,"cosmetics","SKU28","11757.000","58.654","148154.869","Low Demand"
12,"cosmetics","SKU94","11757.000","58.654","148154.869","Low Demand"
26,"skincare","SKU66","20731.000","40.200","219398.844","Low Stock"
48,"haircare","SKU2","13611.000","48.353","157126.528","Normal"
85,"haircare","SKU25","13611.000","48.353","157126.528","Normal"
72,"skincare","SKU10","20731.000","40.200","219398.844","Low Stock"
95,"skincare","SKU47","20731.000","40.200","219398.844","Low Stock"
78,"skincare","SKU3","20731.000","40.200","219398.844","Low Stock"
24,"skincare","SKU20","20731.000","40.200","219398.844","Low Stock"
57,"skincare","SKU75","20731.000","40.200","219398.844","Low Stock"
61,"cosmetics","SKU49","11757.000","58.654","148154.869","Low Demand"
81,"cosmetics","SKU29","11757.000","58.654","148154.869","Low Demand"
19,"haircare","SKU93","13611.000","48.353","157126.528","Normal"
77,"cosmetics","SKU27","11757.000","58.654","148154.869","Low Demand"
25,"skincare","SKU80","20731.000","40.200","219398.844","Low Stock"
94,"skincare","SKU14","20731.000","40.200","219398.844","Low Stock"
30,"haircare","SKU74","13611.000","48.353","157126.528","Normal"
21,"cosmetics","SKU92","11757.000","58.654","148154.869","Low Demand"
49,"haircare","SKU70","13611.000","48.353","157126.528","Normal"
47,"haircare","SKU46","13611.000","48.353","157126.528","Normal"
3,"cosmetics","SKU44","11757.000","58.654","148154.869","Low Demand"
17,"cosmetics","SKU62","11757.000","58.654","148154.869","Low Demand"
28,"skincare","SKU63","20731.000","40.200","219398.844","Low Stock"
20,"haircare","SKU12","13611.000","48.353","157126.528","Normal"
37,"haircare","SKU48","13611.000","48.353","157126.528","Normal"
33,"skincare","SKU39","20731.000","40.200","219398.844","Low Stock"
1,"haircare","SKU81","13611.000","48.353","157126.528","Normal"
76,"haircare","SKU30","13611.000","48.353","157126.528","Normal"
5,"haircare","SKU78","13611.000","48.353","157126.528","Normal"
18,"cosmetics","SKU88","11757.000","58.654","148154.869","Low Demand"
