"customer_id","customer_demographics","location","total_orders","total_revenue","total_units","avg_profit_per_order"
7,"Unknown","Kolkata","31","173090.134","15211","5077.907"
11,"Unknown","Mumbai","31","173090.134","15211","5077.907"
8,"Unknown","Chennai","31","173090.134","15211","5077.907"
16,"Unknown","Bangalore","31","173090.134","15211","5077.907"
15,"Unknown","Delhi","31","173090.134","15211","5077.907"
3,"Female","Kolkata","25","161514.489","12801","5942.384"
17,"Female","Chennai","25","161514.489","12801","5942.384"
18,"Female","Mumbai","25","161514.489","12801","5942.384"
13,"Female","Delhi","25","161514.489","12801","5942.384"
10,"Female","Bangalore","25","161514.489","12801","5942.384"
12,"Male","Delhi","21","126634.394","7507","5429.030"
19,"Male","Kolkata","21","126634.394","7507","5429.030"
5,"Male","Chennai","21","126634.394","7507","5429.030"
20,"Male","Mumbai","21","126634.394","7507","5429.030"
9,"Male","Bangalore","21","126634.394","7507","5429.030"
4,"Non-binary","Kolkata","23","116365.802","10580","4551.995"
2,"Non-binary","Mumbai","23","116365.802","10580","4551.995"
14,"Non-binary","Delhi","23","116365.802","10580","4551.995"
6,"Non-binary","Bangalore","23","116365.802","10580","4551.995"
1,"Non-binary","Chennai","23","116365.802","10580","4551.995"
